precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
808.62,667.635,PE(O-)42:5,PE31:1,42.78,45.43,52.885,48.145,40.81,40.945,31.92,42.4,49.81,48.52,31.85,44.95,51.51,46.575,36.59
810.6,184.105,PC38:4,DLPC,1699.95,1833.95,1658.555,1674.01,1367.065,1493.07,1329.725,1537.555,1510.06,1405.065,1336.06,1499.58,1799.575,1562.745,1590.24
810.64,669.655,PE(O-)42:4,PE31:1,28.98,35.725,63.71,40.025,26.345,32.31,27.01,28.37,36.01,64.585,22.17,23.82,44.53,35.8,33.835
812.62,184.105,PC38:3,DLPC,1699.83,1717.43,1672.36,1923.68,1444.405,1580.65,1506.97,1676.24,1707.77,1642.54,1908.38,1721.08,1971.385,1609.715,1613.22
812.65,671.665,PE(O-)42:3,PE31:1,73.425,78.12,96.38,87.405,68.085,76.735,67.855,62.085,81.21,208.525,72.95,64.66,77.975,89.78,70.63
814.63,184.105,PC38:2,DLPC,5836.765,5990.72,5611.175,7346.03,5321.375,6028,5156.665,5795.735,6315.19,6360.185,7137.4,6440.85,7274.615,5753.695,5551.52
814.67,673.685,PE(O-)42:2,PE31:1,125.775,130.475,120.97,158.59,127.725,137.425,114.865,98.165,157.76,390.795,137.5,133.87,118.74,165.255,122.45
816.65,184.105,PC38:1,DLPC,1103.515,1042.455,1005.85,1423.91,885.675,991.46,913.12,918.245,1069.59,1087.46,1476.18,1115.49,1287.54,952.39,885.385
816.68,675.705,PE(O-)42:1,PE31:1,71.085,65.705,67.47,81.75,65.56,67.5,63.535,54.955,91.57,198.32,58.63,71.83,75.26,87.22,64.715
818.66,184.105,PC38:0,DLPC,789.045,831.13,719.97,792.435,654.655,706.64,667.97,780.73,705.28,748.675,745.79,748.92,877.95,745.55,749.445
818.7,677.715,PE(O-)42:0,PE31:1,92.905,100.51,95.17,96.5,84.515,86.7,80.07,84.475,104.81,117.305,61.54,96.1,100.15,101.885,91.88
820.59,679.605,PE42:6,PE31:1,102.555,102.675,96.355,124.71,91.28,96.47,102.36,95.645,107.82,118.57,101.23,112.41,125.26,109.96,89.705
820.62,184.105,PC(O-)40:6,DLPC,963.55,967.605,872.74,868.485,746.07,807.73,768.93,940.29,834.91,862.035,840.25,853.17,1042.25,894.24,865.905
822.6,681.615,PE42:5,PE31:1,86.925,92.04,85.805,90.86,91.95,79.265,87.425,79.125,111.61,109.305,69.94,88.43,105.915,105.29,84.715
822.64,184.105,PC(O-)40:5,DLPC,448.11,477.685,412.795,430.895,375.395,394.34,373.52,442.365,403.35,431.525,431.01,432.59,504.88,425.99,403.715
824.62,683.635,PE42:4,PE31:1,38.905,38.615,37.065,49.075,33.995,34.48,38.41,33.04,40.95,45.505,52.76,37.96,38.825,44.5,33.91
824.65,184.105,PC(O-)40:4,DLPC,146.075,160.58,175.455,153.575,120.19,132.47,124.745,147.7,166.12,138.57,174.74,144.53,173.8,138.96,129.11
826.63,685.645,PE42:3,PE31:1,53.705,48.025,50.49,68.16,45.43,40.17,48.955,34.875,55.12,66.775,77.56,58.38,61.39,46.05,34.31
826.67,184.105,PC(O-)40:3,DLPC,133.58,144.44,220.525,143.41,104.955,136.515,118.645,130.37,210.24,136.61,145.72,132.67,196.855,127.17,111.485
828.65,687.665,PE42:2,PE31:1,113.145,102.995,116.225,145.64,97.055,86.38,103.33,73.125,121.62,144.85,98.52,129.22,136.08,108.34,86.29
828.68,184.105,PC(O-)40:2,DLPC,197.085,202.215,214.47,220.76,163.98,176.345,171.565,192.185,230.86,205.11,215.61,209.45,256.795,193.12,168.18
830.66,689.675,PE42:1,PE31:1,69.35,66.87,79.695,101.73,68.415,55.265,60.58,47.095,74.45,139.855,77.91,89.2,92.145,60.39,50
830.7,184.105,PC(O-)40:1,DLPC,171.34,169.95,157.695,209.265,142.615,147.135,138.615,149.99,178.4,170.395,196.99,179.42,212.18,161.02,150.355
832.68,691.695,PE42:0,PE31:1,9.825,9.69,15.805,12.3,9.065,9.185,11.49,6.66,15.51,47.705,0,11.97,13.87,10.505,8.005
832.72,184.105,PC(O-)40:0,DLPC,633.885,667.155,572.675,653.99,546.47,590.9,514.59,585.33,527.32,549.175,488.54,520.01,682.24,600.355,585.865
834.6,184.105,PC40:6,DLPC,798.23,831.415,672.005,766.3,643.8,725.535,560.09,671.34,653.52,646.36,691.11,610.55,831.935,707.795,694.345
834.64,693.655,PE(O-)44:6,PE31:1,10.34,11.415,13.1,6.475,7.42,8.81,6.355,6.795,8.07,29.58,0,8.17,11.79,10.12,8.555
836.62,184.105,PC40:5,DLPC,401.025,427.205,358.14,370.295,305.945,354.24,301.805,347.255,327.02,322.83,309.09,321.78,408.87,350.2,345.675
836.65,695.665,PE(O-)44:5,PE31:1,37.895,41.595,37.44,39.135,40.41,48.05,35.775,37.79,46.85,34.065,16.44,28.14,33.355,63.09,46.52
838.63,184.105,PC40:4,DLPC,116.645,132.795,137.145,130.49,97.355,108.57,99.21,111.64,121.28,108.135,124.52,110.55,144.82,108.28,104.12
838.67,697.685,PE(O-)44:4,PE31:1,11.735,15.985,14.69,13.495,14.385,13.095,10.985,11.59,13.41,21.44,12.43,12.37,13.905,17.235,14.82
840.65,184.105,PC40:3,DLPC,157.245,173.35,159.515,189.155,141.5,152.305,153.825,171.07,187.3,174.195,187.03,171.19,210.555,163.87,154.04
840.68,699.705,PE(O-)44:3,PE31:1,6.49,5.615,8.06,6.46,6.45,6.165,5.585,6.35,7.82,23.155,0,5.77,7.67,8.845,7.8
842.66,184.105,PC40:2,DLPC,262.125,273.295,254.915,327.065,240.77,226.52,230.955,262.545,258.63,279.78,332.95,296.23,326.255,254.37,237.025
842.7,701.715,PE(O-)44:2,PE31:1,7.93,7.43,9.575,9.33,7.905,8.755,8.07,6.22,11.68,24.82,0,10.39,8.915,9.985,7.455
844.68,184.105,PC40:1,DLPC,100.64,99.495,92.31,119.035,79.695,82.34,86.84,88.05,94.08,98.34,101.84,106.03,125.075,87.73,78.56
844.72,703.735,PE(O-)44:1,PE31:1,5.61,6.655,6.965,5.325,5.825,7.03,5.195,6.075,6.2,18.86,0,6.12,8.4,5.23,6.295
846.7,184.105,PC40:0,DLPC,74.75,81.835,75.595,82.4,57.765,60.515,60.605,65.42,73.18,70.795,82.75,74.79,91.07,60.61,59.57
846.73,705.745,PE(O-)44:0,PE31:1,14.71,16.29,13.37,20.815,13.725,12.165,14.17,12.905,14.96,29.485,16.93,15.15,17.96,15.76,12.53
848.62,707.635,PE44:6,PE31:1,30.73,33.27,33.49,36,30.33,33.38,31.02,28.235,45.36,38.6,0,32.39,39.575,39.34,28.99
848.65,184.105,PC(O-)42:6,DLPC,100.245,106.635,93.835,101.675,76.97,83.015,79.895,89.47,92.32,93.925,82.84,98.27,112.15,84.96,77.65
